,--disable-option-checking,--disable-libtool-lock,--disable-largefile,--disable-threadsafe,--disable-tcl,--disable-readline,--disable-amalgamation,--disable-load-extension,--disable-math,--enable-shared=no,--enable-static,--enable-fast-install,--enable-releasemode,--enable-tempstore,--enable-editline,--enable-debug,--enable-all,--enable-memsys5,--enable-memsys3,--enable-fts3,--enable-fts4,--enable-fts5,--enable-json1,--enable-update-limit,--enable-geopoly,--enable-rtree,--enable-session,--enable-gcov,--with-pic,--with-gnu-ld,--with-tcl=/usr/lib64,binary-size,unit,nr-of-gadgets
0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,3892808,bytes,63180
1,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,3615720,bytes,57865
2,False,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,8522128,bytes,67350
3,False,True,True,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,10153936,bytes,79939
4,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,True,False,3968832,bytes,65233
5,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,4052960,bytes,65548
6,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,4022392,bytes,65216
7,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,8952448,bytes,70511
8,False,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,9980448,bytes,78572
9,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,3983232,bytes,65522
10,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,False,3990520,bytes,65294
11,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,False,8517128,bytes,67300
12,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,True,9993248,bytes,78391
13,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,4034688,bytes,65328
14,False,True,True,True,True,False,True,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,True,False,False,3387416,bytes,54293
15,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,10090944,bytes,79216
16,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,True,True,True,False,True,False,True,3617096,bytes,58048
17,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,3546576,bytes,57364
18,True,True,False,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,3513976,bytes,56734
19,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,False,4052960,bytes,65548
20,False,True,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,True,True,False,False,False,4035528,bytes,65294
21,True,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,10180384,bytes,79501
22,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,True,8845936,bytes,69602
23,True,False,True,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,4052440,bytes,65683
24,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,8996176,bytes,70840
25,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,False,4043392,bytes,65524
26,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,4061912,bytes,66114
27,False,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,8635152,bytes,68492
28,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,10151696,bytes,79464
29,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,3443208,bytes,54744
30,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,False,10193912,bytes,79714
31,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,3453328,bytes,55026
32,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,4041408,bytes,65547
33,True,False,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,True,3556120,bytes,57972
34,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,4038776,bytes,65429
35,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,False,9754360,bytes,76726
36,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,True,True,False,True,True,10123800,bytes,79417
37,False,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,3373192,bytes,54200
38,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,False,True,False,True,False,True,True,4051824,bytes,65765
39,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,10188496,bytes,80474
40,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,True,4053200,bytes,65704
41,True,False,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True,True,False,True,True,False,False,True,False,False,True,10097472,bytes,79333
42,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,8953784,bytes,70343
43,False,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,True,False,9993288,bytes,78355
44,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,4052352,bytes,65928
45,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,10224816,bytes,80023
46,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,4003232,bytes,64524
47,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,True,True,8972336,bytes,70264
48,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,True,False,False,10101096,bytes,79447
49,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,9082048,bytes,71154
50,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,False,10147416,bytes,79828
51,True,True,False,True,True,False,True,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False,False,True,True,True,3824352,bytes,62823
52,True,False,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,10097472,bytes,79333
53,True,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,True,4044240,bytes,65732
54,True,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,3930944,bytes,64238
55,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,False,3983376,bytes,65259
56,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,3942800,bytes,64946
57,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,True,True,3397056,bytes,54505
58,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,True,4056472,bytes,65862
59,True,False,False,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,True,True,True,False,3416064,bytes,54894
60,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,10125552,bytes,79500
61,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,10136360,bytes,79800
62,False,True,True,False,True,True,False,False,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,False,True,True,False,True,9767944,bytes,77032
63,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,10125560,bytes,79510
64,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,True,True,False,False,3818232,bytes,62623
65,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,3408976,bytes,54912
66,True,False,True,True,False,True,False,True,True,False,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True,False,10060904,bytes,78996
67,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,True,10073528,bytes,79141
68,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,False,4055064,bytes,66192
69,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,10092536,bytes,79054
70,True,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,4034688,bytes,65328
71,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,10138856,bytes,79570
72,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,8817032,bytes,69361
73,True,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,True,False,10148952,bytes,79536
74,False,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,True,3999232,bytes,65452
75,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,False,False,False,False,True,10125552,bytes,79500
76,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,9666456,bytes,75908
77,True,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,10123768,bytes,79404
78,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,10138856,bytes,79570
79,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,True,4043392,bytes,65545
80,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,3491488,bytes,56414
81,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,True,10071792,bytes,79085
82,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,True,False,True,False,True,10191168,bytes,79575
83,True,False,True,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,3835656,bytes,64771
84,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,False,8927584,bytes,69867
85,True,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,10147416,bytes,79828
86,True,True,False,True,True,False,True,False,False,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,True,4000608,bytes,65509
87,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,False,True,True,3521992,bytes,56795
88,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,True,False,False,4033272,bytes,65274
89,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,3983376,bytes,65259
90,True,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True,4060536,bytes,66402
91,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,True,False,3879168,bytes,62692
92,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,4051584,bytes,65502
93,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,3995488,bytes,65207
94,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,3939344,bytes,64928
95,True,False,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,10071792,bytes,79085
96,True,True,True,False,True,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,8547048,bytes,67480
97,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,3990520,bytes,65294
98,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,True,4042816,bytes,66066
99,False,True,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,9987952,bytes,78628
100,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,8497600,bytes,67180
101,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,10101096,bytes,79447
102,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,4051536,bytes,65635
103,False,True,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,10212096,bytes,79842
104,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,True,False,False,True,True,True,False,10224768,bytes,79981
105,False,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,True,False,False,False,False,False,10196032,bytes,81048
106,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,10017376,bytes,78586
107,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,True,True,False,True,False,True,False,3490192,bytes,55751
108,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,False,False,True,3477376,bytes,55463
109,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,3941104,bytes,64808
110,True,False,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,False,10085176,bytes,79256
111,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,False,True,True,False,True,True,False,True,False,True,True,False,True,True,False,10095672,bytes,79009
112,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True,False,3996864,bytes,65168
113,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,10196032,bytes,81048
114,True,True,True,True,False,True,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,3995488,bytes,65207
115,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,False,9664240,bytes,75912
116,True,True,False,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,True,False,True,3990544,bytes,67145
117,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,True,3991920,bytes,66621
118,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,False,False,True,True,False,True,False,False,False,True,10097472,bytes,79333
119,False,True,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,True,True,True,False,False,True,True,3983904,bytes,65460
120,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,8485048,bytes,66910
121,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,10180456,bytes,79515
122,False,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,10111128,bytes,79263
123,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,True,False,False,True,10125280,bytes,79627
124,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,9980504,bytes,78571
125,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,8576344,bytes,67525
126,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,10185760,bytes,79747
127,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,10090944,bytes,79216
128,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,3397056,bytes,54505
129,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,10112816,bytes,79165
130,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,3861680,bytes,63029
131,False,False,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,4051536,bytes,65635
